ParticipantID,SEX,ParticipantAge,MEQ1,MEQ2,MEQ3,MEQ4,MEQ5,MEQ6,MEQ7,MEQ8,MEQ9,MEQ10,MEQ11,MEQ12,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
61,0,76,5,1,6,4,5,5,5,1,4,5,4,1,1,8,8,8,8,2,6,5,6,4,5,5,5,3,3,2,2,5,4,3,2,4,3,3,4,3,3,3,4
96,0,76,2,2,2,6,2,3,3,2,4,2,4,1,1,6,6,9,1,9,1,1,1,3,3,3,5,5,5,5,5,5,4,5,5,5,5,5,3,3,3,3,3
362,0,71,6,7,6,7,7,6,2,7,6,6,6,7,2,2,2,1,1,9,2,4,8,6,5,6,7,7,7,6,6,6,6,6,6,6,6,7,7,7,6,6,6
45,0,70,3,3,2,6,4,5,5,2,6,3,5,2,1,6,5,4,6,1,2,2,3,3,5,5,7,3,3,1,1,3,2,2,3,1,2,5,4,3,4,2,2
74,0,69,1,1,1,5,1,5,1,1,7,2,7,5,2,3,2,3,3,7,1,1,2,6,6,7,7,7,5,5,3,6,7,7,6,3,3,5,6,6,6,2,1
97,0,67,1,6,1,6,1,1,1,6,6,1,6,6,2,6,7,9,8,1,4,4,4,6,7,7,6,5,3,1,1,6,7,7,6,1,1,1,1,1,1,1,1
60,0,66,2,4,3,6,4,5,3,4,6,2,5,4,2,7,8,7,9,2,9,7,9,5,3,1,5,5,7,7,7,7,6,3,2,3,3,2,3,5,3,2,2
340,0,66,2,4,1,5,1,1,4,4,7,1,7,5,2,1,1,2,1,9,6,2,2,5,6,6,7,6,2,5,3,6,7,7,7,5,3,5,5,3,3,5,5
160,1,65,1,1,1,1,1,1,1,1,7,1,7,1,2,2,2,7,1,9,1,1,1,6,7,7,7,7,7,7,7,7,5,7,7,7,7,7,7,7,7,4,6
48,0,65,5,4,1,5,2,6,4,3,4,4,4,5,4,9,9,9,9,1,3,2,8,7,7,6,7,7,6,6,6,1,6,6,1,1,1,1,2,2,2,1,1
80,0,63,2,4,2,6,2,5,6,6,7,2,7,7,2,4,6,1,1,5,4,5,3,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
166,1,62,6,4,4,5,4,2,6,4,6,4,6,6,1,7,7,8,5,6,4,3,2,6,6,6,6,6,7,2,6,7,3,7,6,6,6,6,7,7,7,3,2
343,0,62,2,2,1,5,1,2,2,2,4,2,4,2,2,1,1,3,3,3,8,2,6,2,6,2,5,6,3,2,2,5,7,7,3,3,2,2,3,2,2,2,2
394,0,62,3,1,2,5,1,1,1,1,7,1,7,4,2,1,2,8,3,7,4,2,2,6,7,7,7,7,6,6,5,7,7,7,7,1,1,1,7,7,7,6,1
90,0,61,4,6,1,3,1,4,1,4,5,1,4,3,2,1,1,3,1,9,2,2,2,5,6,3,6,6,6,5,5,5,5,7,7,3,2,2,2,5,3,2,5
62,0,59,2,1,1,5,2,4,5,2,5,5,5,2,2,5,5,7,6,2,4,3,4,6,5,6,5,5,3,6,5,6,5,7,6,5,5,5,5,5,5,4,4
120,0,57,6,7,2,3,5,6,2,7,5,1,7,5,1,6,6,7,8,1,8,3,6,5,6,6,6,7,5,6,2,4,6,3,1,6,5,5,5,5,5,6,6
387,0,57,4,6,4,6,3,3,4,6,6,4,6,6,2,4,4,4,2,6,2,3,3,4,5,6,6,5,5,6,6,6,6,6,6,6,6,6,6,5,6,3,2
370,0,56,5,2,5,5,2,2,3,2,6,2,6,2,1,1,1,1,1,1,7,7,7,6,6,6,6,6,6,6,5,6,5,6,5,5,5,5,4,4,4,3,3
59,0,54,5,1,5,6,5,6,5,1,5,4,5,3,3,8,9,8,8,1,6,2,3,5,6,3,6,7,3,3,5,2,4,5,2,7,7,7,3,2,2,1,1
69,0,53,1,2,1,1,1,1,1,1,4,1,4,1,2,2,2,1,1,9,6,6,6,5,5,5,6,6,5,7,2,7,7,7,7,7,5,5,4,4,4,4,7
346,0,53,5,5,5,4,7,6,2,6,5,2,4,6,2,1,1,9,9,1,9,9,9,5,5,6,6,4,2,6,6,2,5,6,3,4,5,5,4,4,4,4,2
54,0,51,5,7,1,5,1,7,1,7,7,1,7,7,2,2,5,9,9,1,8,6,6,6,7,7,7,7,5,5,5,6,7,7,1,7,6,6,1,5,5,2,1
86,0,51,2,5,2,7,2,3,3,5,6,3,6,5,2,6,6,7,5,5,6,6,6,5,5,5,7,5,4,6,5,7,6,7,5,1,1,1,7,7,7,4,5
334,0,50,5,6,5,5,3,5,5,5,4,5,4,5,2,5,4,5,7,3,7,6,4,3,4,3,2,5,3,4,3,3,6,6,5,5,3,4,4,3,4,5,3
175,1,49,4,7,1,7,1,3,2,4,7,2,7,6,2,5,4,5,3,7,2,5,3,6,6,6,7,7,6,6,6,4,6,7,7,5,3,3,7,7,7,7,1
196,1,49,3,2,3,5,3,2,3,3,5,4,7,5,3,2,5,4,5,6,3,4,2,6,7,7,7,7,6,1,6,6,4,7,7,3,5,6,5,5,5,5,5
102,0,49,6,5,4,5,4,5,4,5,4,5,4,5,2,2,2,5,4,4,4,4,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5
