ParticipantID,SEX,ParticipantAge,PartnerNumber,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,MMS1,MMS2,MMS3,MMS4,MMS5,MMS6,MMS7,MMS8,MMS9,MMS10,MMS11,MMS12,MMS13,MMS14,ZSDQ1,ZSDQ2,ZSDQ3,ZSDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20,NumberChildrenExp,LHYearsLeftToLiv
145,1,29,2,0,0,0,6,4,3,3,5,3,4,5,1,5,2,3,3,4,-1.27820321974051,-2.12430836030475,-1.38936092797183,.504442937912773,6,2,2,6,7,7,6,3,5,4,7,5,6,5,4,6,5,5,3,6,2,30
372,0,28,2,0,0,0,5,3,5,3,5,3,4,2,3,4,3,4,3,4,-2.11438963978465,-.349201374296671,-.604629292728481,-.254288858046192,5,5,3,4,7,4,5,4,4,4,1,2,3,2,3,4,3,4,3,3,2,50
24,0,30,1,0,0,0,1,1,1,1,1,1,1,6,6,6,6,6,7,5,-1.27820321974051,-.349201374296671,-.604629292728481,-.254288858046192,4,3,4,4,4,4,5,4,4,4,7,7,5,4,4,4,5,5,4,5,2,50
98,0,25,3,0,0,0,1,1,7,5,1,4,1,1,1,2,5,1,6,5,.394169620347785,-.349201374296671,.180102342514866,-.254288858046192,2,2,6,6,2,2,5,2,4,4,7,7,3,6,6,2,5,6,2,5,2,50
108,0,28,5,0,0,0,6,2,6,6,2,5,2,2,2,2,2,2,3,5,-2.11438963978465,-2.12430836030475,-1.38936092797183,-1.77175244996412,6,2,2,6,6,3,6,5,5,5,4,6,5,5,5,5,5,5,5,6,1,10
218,1,19,0,0,0,0, , , , , , , , , , , , , , ,-2.9505760598288,-2.12430836030475,-1.38936092797183,-2.53048424592309,4,7,7,1,1,6,5,1,4,4,1,1,1,1,1,1,1,1,1,3,0,0
371,0,30,1,0,0,0,4,2,3,4,3,4,4,1,3,1,3,4,1,1,-.44201679969636,-.349201374296671,.180102342514866,-.254288858046192,3,4,3,4,5,4,1,1,1,1,1,1,1,3,1,3,4,4,5,4,1,45
391,0,32,0,0,0,0,1,4,6,2,1,7,1,1,2,6,6,5,6,6,-.44201679969636,-2.12430836030475,.180102342514866,-1.77175244996412,5,2,3,6,4,3,7,5,4,1,7,7,6,6,7,2,4,2,2,6, , 
38,0,28,3,4,1,0,3,5,5,2,4,5,4,1,3,2,5,3,5,6,-2.11438963978465,.538352118707369,1.74956561300156,.504442937912773,3,3,3,3,4,6,6,4,3,5,3,3,3,4,4,5,4,6,4,5,0,50
40,0,31,1,1,1,0,5,6,5,4,4,5,5,3,2,1,1,2,1,2,.394169620347785,.538352118707369,.964833977758214,1.26317473387174,5,4,3,5,4,5,5,6,6,6,5,6,5,5,6,5,5,4,5,5,3,80
44,0,29,5,4,2,5,7,5,5,5,3,6,3,5,4,6,4,6,4,6,.394169620347785,.538352118707369,.964833977758214,-.254288858046192,6,2,3,7,4,6,6,5,7,5,5,6,6,5,7,6,5,6,7,6,2,50
49,0,36,30,5,5,3,7,6,7,6,1,1,1,5,3,6,6,7,6,7,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,5,4,5,3,2,2,7,7,6,6,6,6,5,6,5,6,5,5,6,2,1,50
50,0,23,3,2,1,14,5,6,3,5,5,3,5,5,5,5,4,4,5,5,-1.27820321974051,.538352118707369,1.74956561300156,1.26317473387174,5,3,2,3,6,5,5,5,5,3,3,6,5,4,4,5,5,4,4,5,3,60
67,0,37,2,2,2,10,6,2,4,6,7,5,6,7,6,6,7,3,6,7,.394169620347785,-.349201374296671,.964833977758214,.504442937912773,6,3,3,6,7,5,6,6,3,5,5,6,6,4,3,6,7,7,5,6,2,5
72,0,29,2,1,1,1,6,5,6,7,5,6,7,5,6,7,5,6,5,6,-1.27820321974051,.538352118707369,.964833977758214,.504442937912773,6,3,2,4,5,4,5,6,5,7,5,6,5,6,7,6,5,6,6,7,0,65
92,0,34,5,20,0,0,4,7,7,7,1,7,1,1,1,7,7,1,7,4,1.23035604039193,1.42590561171141,1.74956561300156,.504442937912773,2,2,2,6,6,6,2,3,4,7,2,1,4,4,3,6,6,6,2,1,0,55
102,0,49,6,4,4,100,6,5,4,5,4,5,4,5,4,5,4,5,4,5,-.44201679969636,.538352118707369,.964833977758214,.504442937912773,5,4,3,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,4,5,6,115
106,0,29,5,5,1,30,6,5,5,6,6,7,5,3,3,4,5,5,5,4,1.23035604039193,1.42590561171141,1.74956561300156,2.0219065298307,4,3,3,3,4,4,5,5,6,6,5,6,5,5,4,4,6,7,5,5,2,30
